Date Checked,Site,Treatment,Block,Coleoptera,Diptera,Hymenoptera,Hemiptera,Psocodea,Lepidoptera,Orthoptera,NA
5-Aug-25,Stone Valley,Control,4,1,0,0,0,0,0,0,0
5-Aug-25,Stone Valley,R-gamma-decalactone,4,1,1,1,0,0,0,0,0
6-Aug-25,Stone Valley,Control,1,2,0,0,0,0,0,0,0
6-Aug-25,Stone Valley,R-gamma-decalactone,1,2,0,0,0,0,0,0,0
6-Aug-25,Stone Valley,Control,2,0,0,0,0,0,0,0,0
6-Aug-25,Stone Valley,R-gamma-decalactone,2,1,0,0,0,0,0,0,0
6-Aug-25,Stone Valley,Control,3,0,0,1,0,0,1,0,0
6-Aug-25,Stone Valley,R-gamma-decalactone,3,2,0,0,0,0,0,0,0
6-Aug-25,Stone Valley,Control,4,0,0,0,0,0,0,0,0
6-Aug-25,Stone Valley,R-gamma-decalactone,4,2,0,0,0,0,0,0,0
7-Aug-25,Stone Valley,Control,1,0,0,0,1,0,0,0,0
7-Aug-25,Stone Valley,R-gamma-decalactone,1,0,0,0,0,0,0,0,0
7-Aug-25,Stone Valley,Control,2,0,0,0,0,0,0,0,0
7-Aug-25,Stone Valley,R-gamma-decalactone,2,3,0,0,0,0,0,0,0
7-Aug-25,Stone Valley,Control,3,0,0,0,1,0,0,0,0
7-Aug-25,Stone Valley,R-gamma-decalactone,3,2,0,0,0,0,0,0,0
7-Aug-25,Stone Valley,Control,4,1,0,1,0,0,1,0,0
7-Aug-25,Stone Valley,R-gamma-decalactone,4,1,0,0,0,0,0,0,0
12-Aug-25,Stone Valley,Control,1,2,0,0,0,0,0,0,0
12-Aug-25,Stone Valley,R-gamma-decalactone,1,1,1,4,0,0,0,0,0
12-Aug-25,Stone Valley,Control,2,0,0,2,0,0,0,0,0
12-Aug-25,Stone Valley,R-gamma-decalactone,2,2,0,0,0,0,0,0,0
12-Aug-25,Stone Valley,Control,3,0,0,0,0,0,0,0,0
12-Aug-25,Stone Valley,R-gamma-decalactone,3,0,0,3,0,0,0,0,0
12-Aug-25,Stone Valley,Control,4,1,0,0,0,0,0,0,0
12-Aug-25,Stone Valley,R-gamma-decalactone,4,0,0,0,0,0,0,0,0
13-Aug-25,Stone Valley,Control,1,0,0,0,0,1,0,1,0
13-Aug-25,Stone Valley,R-gamma-decalactone,1,2,0,0,0,0,0,0,0
13-Aug-25,Stone Valley,Control,2,1,0,0,0,0,0,1,0
13-Aug-25,Stone Valley,R-gamma-decalactone,2,1,0,1,0,1,0,0,0
13-Aug-25,Stone Valley,Control,3,0,0,0,0,0,0,0,0
13-Aug-25,Stone Valley,R-gamma-decalactone,3,0,0,0,0,0,0,0,0
13-Aug-25,Stone Valley,Control,4,0,0,0,0,0,0,0,0
13-Aug-25,Stone Valley,R-gamma-decalactone,4,0,0,0,0,0,0,0,0
14-Aug-25,Stone Valley,Control,1,2,0,0,0,1,0,0,0
14-Aug-25,Stone Valley,R-gamma-decalactone,1,0,1,0,0,0,0,0,1
14-Aug-25,Stone Valley,Control,2,0,0,0,0,0,0,0,0
14-Aug-25,Stone Valley,R-gamma-decalactone,2,0,0,0,0,0,0,0,0
14-Aug-25,Stone Valley,Control,3,0,0,0,0,0,0,0,0
14-Aug-25,Stone Valley,R-gamma-decalactone,3,0,2,1,0,0,0,0,0
14-Aug-25,Stone Valley,Control,4,0,0,0,0,0,0,0,0
14-Aug-25,Stone Valley,R-gamma-decalactone,4,0,0,0,0,0,0,0,0
15-Aug-25,Stone Valley,Control,1,0,0,0,0,0,0,0,0
15-Aug-25,Stone Valley,R-gamma-decalactone,1,1,2,0,0,0,0,0,0
15-Aug-25,Stone Valley,Control,2,0,0,1,0,2,0,0,0
15-Aug-25,Stone Valley,R-gamma-decalactone,2,0,0,0,1,0,1,0,0
15-Aug-25,Stone Valley,Control,3,0,0,0,0,0,0,0,0
15-Aug-25,Stone Valley,R-gamma-decalactone,3,0,0,0,1,1,0,0,0
15-Aug-25,Stone Valley,Control,4,1,1,0,0,2,0,0,0
15-Aug-25,Stone Valley,R-gamma-decalactone,4,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
