Date Lure Set,Date Last Checked,Date Checked,Ordinal Date,Time,Expt,Site,Lat,Lon,Elevation,Block,Lure,Osmoderma spp,Elater abruptus,Bycatch
30-Jul-25,4-Aug-25,6-Aug-25,218,9:00 AM,2025GDL,Stone Valley,40.64591,77.92306,,4,Control,1,0,0
30-Jul-25,4-Aug-25,6-Aug-25,218,9:00 AM,2025GDL,Stone Valley,40.64591,77.92306,,4,R-gamma-decalactone,0,0,2
30-Jul-25,6-Aug-25,7-Aug-25,219,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,Control,0,0,1
30-Jul-25,6-Aug-25,7-Aug-25,219,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,R-gamma-decalactone,0,0,0
30-Jul-25,6-Aug-25,7-Aug-25,219,9:00 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,Control,0,0,0
30-Jul-25,6-Aug-25,7-Aug-25,219,9:00 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,R-gamma-decalactone,0,0,3
30-Jul-25,6-Aug-25,7-Aug-25,219,9:00 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,Control,0,0,1
30-Jul-25,6-Aug-25,7-Aug-25,219,9:00 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,R-gamma-decalactone,0,0,2
30-Jul-25,6-Aug-25,7-Aug-25,219,9:00 AM,2025GDL,Stone Valley,40.64591,77.92306,,4,Control,0,0,3
30-Jul-25,6-Aug-25,7-Aug-25,219,9:00 AM,2025GDL,Stone Valley,40.64591,77.92306,,4,R-gamma-decalactone,0,1,1
30-Jul-25,7-Aug-25,12-Aug-25,224,10:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,Control,0,0,2
30-Jul-25,7-Aug-25,12-Aug-25,224,10:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,1,R-gamma-decalactone,0,0,6
30-Jul-25,7-Aug-25,12-Aug-25,224,10:00 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,Control,0,0,2
30-Jul-25,7-Aug-25,12-Aug-25,224,10:00 AM,2025GDL,Stone Valley,40.644778,-77.924646,264.687134,2,R-gamma-decalactone,0,0,2
30-Jul-25,7-Aug-25,12-Aug-25,224,10:00 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,Control,0,0,0
30-Jul-25,7-Aug-25,12-Aug-25,224,10:00 AM,2025GDL,Stone Valley,40.646675,-77.922128,263.449341,3,R-gamma-decalactone,0,0,3
30-Jul-25,7-Aug-25,12-Aug-25,224,10:00 AM,2025GDL,Stone Valley,40.64591,77.92306,,4,Control,0,0,1
30-Jul-25,7-Aug-25,12-Aug-25,224,10:00 AM,2025GDL,Stone Valley,40.64591,77.92306,,4,R-gamma-decalactone,1,2,0
